"poziom_studiow";"forma_studiow";"kod_przedmiotu";"nazwa_przedmiotu";"rodzaj_zajec";"numer_grupy";"prowadzacy";"data";"poczatek";"koniec";"budynek";"nr_sali"
"I Stopnia";"Stacjonarne";"110-INO-1S-300";"Przetwarzanie równoległe i rozproszone";"wykład";"1";"dr hab. inż. Krzysztof Banaś";"2021-12-02";"8:00";"9:30";"B4";"122"
"I Stopnia";"Stacjonarne";"110-INO-1S-230";"Optymalizacja";"wykład";"1";"prof. dr hab. inż. Jan Kusiak";"2021-12-02";"9:45";"11:15";"B4";"122"
"I Stopnia";"Stacjonarne";"110-INO-1S-384";"Warsztaty modelowania";"zajęcia warsztatowe";"1";"dr inż. Łukasz Sztangret";"2021-12-03";"8:00";"10:15";"B5";"612"
"I Stopnia";"Stacjonarne";"110-INO-1S-384";"Warsztaty modelowania";"zajęcia warsztatowe";"1";"dr inż. Łukasz Sztangret";"2021-12-03";"10:30";"12:45";"B5";"612"
"I Stopnia";"Stacjonarne";"110-INO-1S-300";"Przetwarzanie równoległe i rozproszone";"ćwiczenia laboratoryjne";"3";"mgr inż. Jan Bielański";"2021-12-03";"15:00";"16:30";"B5";"410"
"I Stopnia";"Stacjonarne";"110-INO-1S-193";"Modelowanie dyskretne";"wykład";"1";"prof. dr hab. inż. Dmytro Svyetlichnyy";"2021-12-06";"8:00";"9:30";"online";"online"
"I Stopnia";"Stacjonarne";"110-INO-1S-387";"Wizualizacja danych";"wykład";"1";"prof. dr hab. inż. Mirosław Głowacki";"2021-12-06";"11:30";"13:00";"online";"online"
"I Stopnia";"Stacjonarne";"110-INO-1S-230";"Optymalizacja";"ćwiczenia projektowe";"2";"dr inż. Łukasz Sztangret";"2021-12-07";"15:00";"16:30";"B4";"101"
"I Stopnia";"Stacjonarne";"110-INO-1S-193";"Modelowanie dyskretne";"ćwiczenia projektowe";"2";"prof. dr hab. inż. Dmytro Svyetlichnyy";"2021-12-08";"9:45";"11:15";"B5";"404"
"I Stopnia";"Stacjonarne";"110-INO-1S-387";"Wizualizacja danych";"ćwiczenia laboratoryjne";"3";"dr inż. Przemysław Marynowski";"2021-12-08";"15:00";"16:30";"B5";"404"
"I Stopnia";"Stacjonarne";"110-INO-1S-300";"Przetwarzanie równoległe i rozproszone";"wykład";"1";"dr hab. inż. Krzysztof Banaś";"2021-12-09";"8:00";"9:30";"B4";"122"
"I Stopnia";"Stacjonarne";"110-INO-1S-230";"Optymalizacja";"wykład";"1";"prof. dr hab. inż. Jan Kusiak";"2021-12-09";"9:45";"11:15";"B4";"122"
"I Stopnia";"Stacjonarne";"110-INO-1S-384";"Warsztaty modelowania";"zajęcia warsztatowe";"1";"prof. dr hab. inż. Łukasz Madej";"2021-12-10";"8:00";"10:15";"B5";"612"
"I Stopnia";"Stacjonarne";"110-INO-1S-384";"Warsztaty modelowania";"zajęcia warsztatowe";"1";"dr inż. Mateusz Sitko";"2021-12-10";"10:30";"12:45";"B5";"612"
"I Stopnia";"Stacjonarne";"110-INO-1S-300";"Przetwarzanie równoległe i rozproszone";"ćwiczenia laboratoryjne";"3";"mgr inż. Jan Bielański";"2021-12-10";"15:00";"16:30";"B5";"410"
"I Stopnia";"Stacjonarne";"110-INO-1S-193";"Modelowanie dyskretne";"wykład";"1";"prof. dr hab. inż. Dmytro Svyetlichnyy";"2021-12-13";"8:00";"9:30";"online";"online"
"I Stopnia";"Stacjonarne";"110-INO-1S-387";"Wizualizacja danych";"wykład";"1";"prof. dr hab. inż. Mirosław Głowacki";"2021-12-13";"11:30";"13:00";"online";"online"
"I Stopnia";"Stacjonarne";"110-INO-1S-230";"Optymalizacja";"ćwiczenia projektowe";"2";"dr inż. Łukasz Sztangret";"2021-12-14";"15:00";"16:30";"B4";"101"
"I Stopnia";"Stacjonarne";"110-INO-1S-193";"Modelowanie dyskretne";"ćwiczenia projektowe";"2";"prof. dr hab. inż. Dmytro Svyetlichnyy";"2021-12-15";"9:45";"11:15";"B5";"404"
"I Stopnia";"Stacjonarne";"110-INO-1S-387";"Wizualizacja danych";"ćwiczenia laboratoryjne";"3";"dr inż. Przemysław Marynowski";"2021-12-15";"15:00";"16:30";"B5";"404"
"I Stopnia";"Stacjonarne";"110-INO-1S-300";"Przetwarzanie równoległe i rozproszone";"wykład";"1";"dr hab. inż. Krzysztof Banaś";"2021-12-16";"8:00";"9:30";"B4";"122"
"I Stopnia";"Stacjonarne";"110-INO-1S-230";"Optymalizacja";"wykład";"1";"prof. dr hab. inż. Jan Kusiak";"2021-12-16";"9:45";"11:15";"B4";"122"
"I Stopnia";"Stacjonarne";"110-INO-1S-384";"Warsztaty modelowania";"zajęcia warsztatowe";"1";"prof. dr hab. inż. Zbigniew Malinowski";"2021-12-17";"8:00";"10:15";"B5";"612"
"I Stopnia";"Stacjonarne";"110-INO-1S-384";"Warsztaty modelowania";"zajęcia warsztatowe";"1";"prof. dr hab. inż. Zbigniew Malinowski";"2021-12-17";"10:30";"12:45";"B5";"612"
"I Stopnia";"Stacjonarne";"110-INO-1S-300";"Przetwarzanie równoległe i rozproszone";"ćwiczenia laboratoryjne";"3";"mgr inż. Jan Bielański";"2021-12-17";"15:00";"16:30";"B5";"410"
"I Stopnia";"Stacjonarne";"110-INO-1S-193";"Modelowanie dyskretne";"wykład";"1";"prof. dr hab. inż. Dmytro Svyetlichnyy";"2021-12-20";"8:00";"9:30";"online";"online"
"I Stopnia";"Stacjonarne";"110-INO-1S-387";"Wizualizacja danych";"wykład";"1";"prof. dr hab. inż. Mirosław Głowacki";"2021-12-20";"11:30";"13:00";"online";"online"
"I Stopnia";"Stacjonarne";"110-INO-1S-230";"Optymalizacja";"ćwiczenia projektowe";"2";"dr inż. Łukasz Sztangret";"2021-12-21";"15:00";"16:30";"B4";"101"
"I Stopnia";"Stacjonarne";"110-INO-1S-300";"Przetwarzanie równoległe i rozproszone";"wykład";"1";"dr hab. inż. Krzysztof Banaś";"2021-12-22";"8:00";"9:30";"B4";"122"
"I Stopnia";"Stacjonarne";"110-INO-1S-230";"Optymalizacja";"wykład";"1";"prof. dr hab. inż. Jan Kusiak";"2021-12-22";"9:45";"11:15";"B4";"122"
"I Stopnia";"Stacjonarne";"110-INO-1S-193";"Modelowanie dyskretne";"wykład";"1";"prof. dr hab. inż. Dmytro Svyetlichnyy";"2022-01-03";"8:00";"9:30";"online";"online"
"I Stopnia";"Stacjonarne";"110-INO-1S-387";"Wizualizacja danych";"wykład";"1";"prof. dr hab. inż. Mirosław Głowacki";"2022-01-03";"11:30";"13:00";"online";"online"
"I Stopnia";"Stacjonarne";"110-INO-1S-230";"Optymalizacja";"ćwiczenia projektowe";"2";"dr inż. Łukasz Sztangret";"2022-01-04";"15:00";"16:30";"B4";"101"
"I Stopnia";"Stacjonarne";"110-INO-1S-193";"Modelowanie dyskretne";"ćwiczenia projektowe";"2";"prof. dr hab. inż. Dmytro Svyetlichnyy";"2022-01-05";"9:45";"11:15";"B5";"404"
"I Stopnia";"Stacjonarne";"110-INO-1S-387";"Wizualizacja danych";"ćwiczenia laboratoryjne";"3";"dr inż. Przemysław Marynowski";"2022-01-05";"15:00";"16:30";"B5";"404"
"I Stopnia";"Stacjonarne";"110-INO-1S-384";"Warsztaty modelowania";"zajęcia warsztatowe";"1";"dr inż. Sylwia Bednarek";"2022-01-07";"8:00";"10:15";"B5";"612"
"I Stopnia";"Stacjonarne";"110-INO-1S-384";"Warsztaty modelowania";"zajęcia warsztatowe";"1";"dr inż. Sylwia Bednarek";"2022-01-07";"10:30";"12:45";"B5";"612"
"I Stopnia";"Stacjonarne";"110-INO-1S-300";"Przetwarzanie równoległe i rozproszone";"ćwiczenia laboratoryjne";"3";"mgr inż. Jan Bielański";"2022-01-07";"15:00";"16:30";"B5";"410"
"I Stopnia";"Stacjonarne";"110-INO-1S-193";"Modelowanie dyskretne";"wykład";"1";"prof. dr hab. inż. Dmytro Svyetlichnyy";"2022-01-10";"8:00";"9:30";"online";"online"
"I Stopnia";"Stacjonarne";"110-INO-1S-387";"Wizualizacja danych";"wykład";"1";"prof. dr hab. inż. Mirosław Głowacki";"2022-01-10";"11:30";"13:00";"online";"online"
"I Stopnia";"Stacjonarne";"110-INO-1S-230";"Optymalizacja";"ćwiczenia projektowe";"2";"dr inż. Łukasz Sztangret";"2022-01-11";"15:00";"16:30";"B4";"101"
"I Stopnia";"Stacjonarne";"110-INO-1S-193";"Modelowanie dyskretne";"ćwiczenia projektowe";"2";"prof. dr hab. inż. Dmytro Svyetlichnyy";"2022-01-12";"9:45";"11:15";"B5";"404"
"I Stopnia";"Stacjonarne";"110-INO-1S-387";"Wizualizacja danych";"ćwiczenia laboratoryjne";"3";"dr inż. Przemysław Marynowski";"2022-01-12";"15:00";"16:30";"B5";"404"
"I Stopnia";"Stacjonarne";"110-INO-1S-300";"Przetwarzanie równoległe i rozproszone";"wykład";"1";"dr hab. inż. Krzysztof Banaś";"2022-01-13";"8:00";"9:30";"B4";"122"
"I Stopnia";"Stacjonarne";"110-INO-1S-230";"Optymalizacja";"wykład";"1";"prof. dr hab. inż. Jan Kusiak";"2022-01-13";"9:45";"11:15";"B4";"122"
"I Stopnia";"Stacjonarne";"110-INO-1S-384";"Warsztaty modelowania";"zajęcia warsztatowe";"1";"dr hab. inż. Marcin Rywotycki";"2022-01-14";"8:00";"10:15";"B5";"612"
"I Stopnia";"Stacjonarne";"110-INO-1S-384";"Warsztaty modelowania";"zajęcia warsztatowe";"1";"dr hab. inż. Marcin Rywotycki";"2022-01-14";"10:30";"12:45";"B5";"612"
"I Stopnia";"Stacjonarne";"110-INO-1S-300";"Przetwarzanie równoległe i rozproszone";"ćwiczenia laboratoryjne";"3";"mgr inż. Jan Bielański";"2022-01-14";"15:00";"16:30";"B5";"410"
"I Stopnia";"Stacjonarne";"110-INO-1S-193";"Modelowanie dyskretne";"wykład";"1";"prof. dr hab. inż. Dmytro Svyetlichnyy";"2022-01-17";"8:00";"9:30";"online";"online"
"I Stopnia";"Stacjonarne";"110-INO-1S-387";"Wizualizacja danych";"wykład";"1";"prof. dr hab. inż. Mirosław Głowacki";"2022-01-17";"11:30";"13:00";"online";"online"
"I Stopnia";"Stacjonarne";"110-INO-1S-193";"Modelowanie dyskretne";"ćwiczenia projektowe";"2";"prof. dr hab. inż. Dmytro Svyetlichnyy";"2022-01-19";"9:45";"11:15";"B5";"404"
"I Stopnia";"Stacjonarne";"110-INO-1S-387";"Wizualizacja danych";"ćwiczenia laboratoryjne";"3";"dr inż. Przemysław Marynowski";"2022-01-19";"15:00";"16:30";"B5";"404"
